ArticleTitle,Summary,Link,Timestamp,Category,ArticleStory,Label
"FDA approves a third biosimilar, with the largest market"," FDA approves a third biosimilar, with the largest market 
  slawrence  
 Tue, 08/30/2016 - 19:42 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/fda-approves-a-third-biosimilar-largest-market-yet,"Tue, 30 Aug 2016 23:42:27 +0000",NA,"FDA approves a third biosimilar, with the largest market | FierceBiotechThe FDA has approved its third biosimilar this time it s for the autoimmune treatment Enbrel, which had $9.5 billion in global sales last year. That makes this the largest marketed drug targeted to date by an FDA-approved biosimilar. Enbrel, which is sold by Amgen ($AMGN) was the fourth largest drug by worldwide sales last year.

But the Enbrel biosimilar, known as Erelzi (etanercept-szzs) as well as a Remicade biosimilar, Inflectra (infliximab-dyyb) from Pfizer ($PFE) and Celltrion that was approved earlier this year are being held up by patent disputes. So, an approval for these blockbuster biosimilars doesn t mean they will be on the market anytime soon.

Enbrel is still a growth driver for Amgen in fact, sales were up 10% year-over-year during the second quarter due to a combination of an increased net sales price and an improved competitive position.

The drug sold about $5.1 billion in the U.S. last year. It is Amgen s top selling drug. The newly approved biosimilar version is from Novartis  Sandoz division; it s also targeting Amgen s second largest drug by sales, Neulasta. But the FDA issued a complete response letter for that biosimilar candidate last quarter.

Sandoz has already launched Zarxio, a biosimilar of Amgen's Neupogen. This was the first biosimilar approved last year in the U.S. and the only, thus far, to be marketed in the country. Neupogen sales declined by almost one-quarter during the first half of the year compared to the same period a year prior to $256 million.

The unit is aiming for one of the broadest biosimilars portfolios in the industry; it s planning three more FDA submissions for biosimilars this year and next for Amgen s Epogen (epoetin alfa), AbbVie s Humira (adalimumab) and Roche s Rituxan (rituximab).

If Sandoz is successful that could put it in line to have biosimilars for 4 out of 8 of Amgen s top selling drugs. The company is aiming   to deliver one of the broadest biosimilars portfolios in the industry,  its Global Head of Drug Development and CMO Vasant Narasimhan said on the company's most recent earnings call.

As for Amgen, it s not just relying on lawyers to defend its sales. It s pursuing its own biosimilar strategy. It recently had a positive panel for a biosimilar version of Humira but AbbVie is making its own patent case in court to defend it.

In addition, Amgen has submitted to the FDA for a biosimilar version of two major Roche products: Avastin (bevacizumab) and Herceptin (trastuzumab).",Pharmaceuticals
Ariad finishes rolling NDA for lung cancer; wants sped-up review," Ariad finishes rolling NDA for lung cancer; wants sped-up review 
  badams  
 Tue, 08/30/2016 - 08:55 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/ariad-finishes-rolling-nda-for-lung-cancer-wants-sped-up-review,"Tue, 30 Aug 2016 12:55:50 +0000",NA,"Ariad finishes rolling NDA for lung cancer; wants sped-up review | FierceBiotechAriad Pharmaceuticals ($ARIA) has finished sending its latest data for brigatinib to the FDA and is now looking to the U.S. regulator for a speedy review.

The Cambridge, MA-based company is seeking a license for brigatinib, its investigational anaplastic lymphoma kinase (ALK) inhibitor, to be used when patients cannot take or are resistant to Pfizer s ($PFE) marketed ALK non-small cell lung cancer drug Xalkori (crizotinib).

Ariad said in a statement that it is now seeking accelerated approval for brigatinib from the FDA after asking for its coveted priority review, which means it could be on the market around 3 to 4 months earlier than with a normal review. The U.S. regulator has already given the med its  Breakthrough  tag and allowed the rolling status.

 Many patients with ALK-positive non-small cell lung cancer eventually develop disease progression,  said Dr. Corey Langer, director of thoracic oncology in the Abramson Cancer Center of the University of Pennsylvania and a professor of hematology-oncology in Penn s Perelman School of Medicine.

 We are excited that the brigatinib NDA submission is now complete and are hopeful that brigatinib s data, including the observation of complete responses and activity in the central nervous system, will provide patients and their oncologists with a new treatment option. 

The NDA submission includes data from its Phase I/II and pivotal Phase II ALTA trials of brigatinib. In the ALTA trial, patients who suffered from disease progression on Xalkori were randomized to one of two brigatinib regimens.

With a median follow-up of 8.3 months, 54% of patients treated with 180 mg with a one-week lead-in at 90 mg achieved an investigator-assessed confirmed objective response--the trial s primary endpoint. In this arm, median progression-free survival was just over a year.

 With the completion of the brigatinib submission this week, we are excited by its potential, if approved, to offer additional hope to patients and their families,  stated Paris Panayiotopoulos, president and chief executive officer of Ariad.  We are thankful to the patients and physicians who participated in the clinical trials of brigatinib. We remain grateful to the FDA for granting brigatinib a breakthrough designation and the benefit of a rolling submission process, unique to the U.S. regulatory system. 

Ariad said it plans to submit brigatinib to the EMA in  early 2017.  Xalkori, which has several U.S. lung cancer licenses, made $488 million last year--up 11% on 2014.

The company hopes to have a better second half to 2016 after announcing back in March that it was axing about 90 staffers--25% of its total workforce--in an ongoing restructuring of the business.

The biotech said it was also reviewing its R&D portfolio and other aspects of the business. This did not however impact its work on brigatinib, which remains a primary focus. This also came after Ariad laid off around 40% of its staff in 2013 when it was forced to yank its leukemia drug off the market.",Pharmaceuticals
"Rigel s fostamatinib hits PhIII goal, but shares yo-yo on data"," Rigel s fostamatinib hits PhIII goal, but shares yo-yo on data 
  badams  
 Tue, 08/30/2016 - 07:30 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/rigel-s-fostamatinib-hits-phiii-goal-but-shares-yo-yo-data,"Tue, 30 Aug 2016 11:30:03 +0000",NA,"Rigel s fostamatinib hits PhIII goal, but shares yo-yo on data | FierceBiotechCalifornia biotech Rigel Pharmaceuticals ($RIGL) has posted positive new late-stage data for its experimental thrombocytopenia treatment and says it is eyeing a 2017 submission to the FDA.

But while fostamatinib, its oral spleen tyrosine kinase (SYK) inhibitor, hit its primary endpoint, only 18% of the 76 patients saw a stable platelet response, compared to none on the placebo arm. Analysts had previously believed low- to mid-20s was the likely target, although 18% still reaches statistical significance.

There were also a high number of AEs, with treatment-related AEs at 77% for the med, but just 28% on the placebo arm. GI complaints were the most observed adverse event on fostamatinib.

Shares had been trading up by 50% premarket this morning before the data were released at 7am ET--but then dropped by more than 9% within minutes of the figures being posted. This then rebounded to be up by around 40% by midday. The drug could reach peak annual sales of $300 to $400 million, according to estimates.

This is the first of two double-blind studies in the FIT Phase III programs for the treatment of adult chronic/persistent immune thrombocytopenia (ITP). Results from the second study are expected in October/November 2016.

The biotech is still trying to see this as a positive however, saying in a release that if these results are reproduced it will likely go for an NDA with the FDA in the first quarter of 2017.

""These data demonstrate the potential benefit of fostamatinib for chronic ITP patients who are in need of new treatment options,"" said Raul Rodriguez, president and chief executive officer of Rigel.

""We believe that fostamatinib has significant commercial potential given that it has a unique mechanism of action that may work where other products have failed.""

""We are very encouraged by these results,"" added Anne-Marie Duliege, executive vice president and chief medical officer of Rigel.

""Consistent with the prior clinical study of fostamatinib in ITP, this FIT Phase III study demonstrated that fostamatinib provided a robust and enduring benefit for those patients who responded to the drug candidate.""",Pharmaceuticals
"Neurocrine submits valbenazine NDA early, set for 2017 approval"," Neurocrine submits valbenazine NDA early, set for 2017 approval  
  badams  
 Tue, 08/30/2016 - 07:10 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/neurocrine-submits-valbenazine-nda-early-set-for-2017-approval,"Tue, 30 Aug 2016 11:10:40 +0000",NA,"Neurocrine submits valbenazine NDA early, set for 2017 approval | FierceBiotechNeurocrine Biosciences ($NBIX) has sent off an NDA for its experimental med earlier than analysts had reckoned as it seeks U.S. approval for treating twitches of the face and jaw.

Specifically, the San Diego, CA-based biotech said it has submitted the once-daily valbenazine to the FDA for tardive dyskinesia.

The company said it expects its submission to be accepted by October, giving it an expected PDUFA date in April, should it get an accelerated review--it has already received a ""breakthrough"" designation from the FDA.

Its drug is a VMAT2 inhibitor that modulates dopamine release during nerve communication. It is designed to treat tardive dyskinesia, a condition characterized by involuntary, repetitive movements of the face.

The biotech said that these symptoms are rarely reversible and there are currently no FDA-approved treatments.

Baird analyst Brian Skorney said in a note to clients that Neurocrine remained on an  outperform  rating as the NDA came a little earlier than expected.

The news gets better for Neurocrine, as partner AbbVie ($ABBV) is also on track to file their investigational endometriosis drug elagolix for its U.S. NDA next year.

 This is an important milestone in the development of valbenazine for the treatment of tardive dyskinesia, a serious disease for which there is no FDA approved pharmaceutical treatment,  said Kevin Gorman, president and CEO of Neurocrine Biosciences.

 We look forward to working with the FDA in their review of the valbenazine NDA submission to potentially bring this important treatment option to patients and physicians. 

But it s not always been good news for the biotech as back in June of last year it announced that it suspended two planned clinical studies of its CRF antagonist NBI-77860 out of  an abundance of caution. 

This came after the company said it had found  certain recent preclinical findings that we had not observed in previous animal studies. ",Pharmaceuticals
Vectura slides after PhIII miss dents hopes of using Flutiform in COPD patients," Vectura slides after PhIII miss dents hopes of using Flutiform in COPD patients 
  ntaylor  
 Tue, 08/30/2016 - 05:51 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/vectura-slides-after-phiii-miss-dents-hopes-using-flutiform-copd-patients,"Tue, 30 Aug 2016 09:51:46 +0000",NA,"Vectura slides after PhIII miss dents hopes of using Flutiform in COPD patients | FierceBiotechWeak Phase III data have dealt a blow to Vectura s (LON:VEC) hopes of seeing Flutiform approved for use in chronic obstructive pulmonary disease (COPD) patients. Vectura shares fell as much as 10% after it revealed the Phase III study missed its primary endpoint, quashing near-term hopes of expanding the use of a drug it acquired in the  441 million ($576 million) merger with Skyepharma.

Vectura s partner Mundipharma enrolled 1,767 patients in the study and randomized them to receive one of two doses of Flutiform or an active comparator, formoterol. After 52 weeks of daily dosing with the drugs, the study team analyzed the annual rate of moderate and severe COPD exacerbations in each arm. The key comparison was between the higher dose of Flutiform and the long-acting beta2 agonist (LABA) formoterol. Mundipharma was hoping to see evidence Flutiform is better at controlling COPD exacerbations than formoterol.

In this regard, the experimental therapy fell short, resulting in the trial missing its primary endpoint. Mundipharma is now digging through the other endpoints, which compared the lower Flutiform dose to formoterol and looked at exacerbations, lung function and safety in each of the arms. But the failure to meet the primary endpoint has scuttled Mundipharma s plan to apply for approval in Europe on the strength of the Phase III data.

That news was seen by investors as serious enough to send shares in Vectura down 10% in early trading in London, although the stock rallied to make up some of the losses by midmorning. Faced with lengthening odds of LABA-inhaled corticosteroid (ICS) combination Flutiform winning approval in COPD, Vectura CEO James Ward-Lilley sought to play up both the challenge of improving on standard of care and the potential to grow sales in other indications.

 COPD is a complex and highly variable disease and these trial results highlight the challenge in demonstrating reductions of exacerbations with ICS/LABA combinations in today s treatment environment,  Ward-Lilley said in a statement.  Whilst this result is disappointing, flutiform continues to grow strongly based on the approved asthma indication. 

Flutiform racked up sales of  92.4 million in the first 6 months of 2016, an increase of 42% over the comparable period of 2015. But, while there is still scope for Vectura to grow sales of Flutiform in its existing asthma indication, the potential loss of the COPD market nonetheless represents a blow to the company's plans to build its business and justify the merger with Skyepharma.

The failure of the addition of an ICS to a LABA to improve on the latter alone is in keeping with data from other COPD drug developers. GlaxoSmithKline ($GSK) and Theravance Biopharma ($TBPH) encountered a similar setback during the development of Breo, but ultimately succeeded in winning approval for the once-daily ICS/LABA.",Pharmaceuticals
"Leap reverse merges, secures $30M for I/O antibodies"," Leap reverse merges, secures $30M for I/O antibodies 
  slawrence  
 Mon, 08/29/2016 - 16:53 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/leap-reverse-merges-secures-30m-for-i-o-antibodies,"Mon, 29 Aug 2016 20:53:44 +0000",NA,"Leap reverse merges, secures $30M for I/O antibodies | FierceBiotechImmuno-oncology antibody company Leap Therapeutics has reverse merged with Israeli public wound care player Macrocure ($MCUR). This is at least the third recent biotech reverse merger, coming amid the typical IPO doldrums of August.

Reverse mergers may be losing their stigma, especially considering recent high-profile success stories that started out that way and are now worth billions, such as Medivation ($MDVN) and Puma Biotechnology ($PUMA). Leap Therapeutics was formerly known as Dekkun and reported its first and only prior financing of almost $10 million in 2011.

The combined company will have $30 million, including an additional $10 million from Leap investors including HealthCare Ventures. That firm holds three seats on Leap s five-person board, including the company s CEO, Christopher Mirabelli, who is a HealthCare Ventures managing director.

""The combination with Macrocure positions our organization as a leading immuno-oncology company with sufficient capital to advance our pipeline of first-in-class monoclonal antibodies through significant value-creating events,"" said Mirabelli in a statement.

The resulting company will focus on the two early stage clinical cancer antibodies being developed at Leap: DKN-01, a humanized monoclonal antibody targeting the Dickkopf-1 (DKK1) protein, and TRX518, a humanized GITR agonist monoclonal antibody designed to improve the immune system's antitumor response. The company will be focused on developing these two monoclonal antibody candidates going forward.

Continued Mirabelli, ""We anticipate achieving substantial clinical milestones over the course of 2016 and 2017. We plan to present data and initiate randomized studies for DKN-01, our lead development candidate, which has demonstrated clinical activity in esophageal cancer and cholangiocarcinoma when combined with chemotherapy; and we expect to report data from a repeat-dose study of TRX518, a novel GITR agonist monoclonal antibody which is believed to enhance an immune anti-tumor response.""

Macrocure investors will hold about 31.8% of the resulting company, while Leap shareholders get about 68.2% of it. Macrocure will officially become a subsidiary of Leap; the executive team at Leap will retain all their positions in the Cambridge, MA-based company. The boards of both companies have agreed to the deal, which is expected to close around year end.

Wall Street drove up Macrocure shares on news of the deal by about 66%. Still, that only pushed the penny stock to a valuation of around $35 million, scarcely more than its cash that s slated at deal close.",Pharmaceuticals
Cancer upstart CBT closes $9.7M Series A; OrbiMed lead investor," Cancer upstart CBT closes $9.7M Series A; OrbiMed lead investor   
  badams  
 Mon, 08/29/2016 - 09:21 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/cancer-upstart-cbt-closes-9-7m-series-a-orbimed-lead-investor,"Mon, 29 Aug 2016 13:21:44 +0000",NA,"Cancer upstart CBT closes $9.7M Series A; OrbiMed lead investor | FierceBiotechThe Asian unit of perpetual life science backer OrbiMed has led a modest $9.7 million first round for biotech CBT Pharmaceuticals as it looks to build up its c-Met and I/O pipeline of cancer meds.

CBT has closed the $9.75 million Series A financing (that includes $2 million in warrants), and with the proceeds, along with $5 million seed funding from its parent, the Californian biotech Crown Bioscience, sees the fledgling biotech s operating capital nudge up to $14.75 million.

The company is currently working on a pipeline of four candidates, with its two leading compounds being CBT-101 and CBT-501.

The former is an oral c-Met inhibitor designed to target the epithelial to mesenchymal transition (EMT) pathway in certain cancers, while the latter is a PD-1 checkpoint inhibitor, which works by helping the body s immune system recognize and help kill tumors.

It s also got at the back of its pipeline a preclinical multi-targeted kinase inhibitor that is designed to go after uncontrolled growth signaling pathways and PD-L1 antibody.

CBT says it is  seeking partners for combination therapies  with its PD-1 and PDL-1 antibodies. This may include it going after big players such as Merck ($MRK), Bristol-Myers ($BMY) and Roche ($RHHBY), who all have approved PD-1/PD-L1 meds on the market, but have also set up a number of combo trials with other cancer drugs to try and boost efficacy.

Its board includes chair Guo-Liang Yu, also executive chairman of Crown Bioscience International and Jonathan Wang, senior M.D. and co-founder of OrbiMed Asia. The biotech s CEO and president is Sanjeev Redkar, who also founded the company this year.

 This financing allows us to advance two of our four development programs into human clinical trials,  said Redkar.

 CBT-101, a highly specific inhibitor of the c-MET receptor, has shown robust activity in patient-derived xenograft (PDX) models with a wide safety margin. CBT-101 is currently in a Phase I trial in China, and we plan to initiate a Phase I study in the United States in early 2017 to evaluate the safety, tolerability and preliminary efficacy in cancer patients with c-MET dysregulated malignancies.

 We also plan to initiate a Phase 1 study of CBT-501, an anti PD-1 monoclonal antibody, in south-east Asia in 2017. An Investigational Drug Application has been filed and CBT-501 is also awaiting the start of a Phase I trial in China. 

Its biggest backer, OrbiMed Asia--the Asian unit of OrbiMed--has offices in Shanghai and Mumbai and a kitty of more than $500 million under management.",Pharmaceuticals
EXCLUSIVE: Stealthy Arcus emerges with $120M to make personalized I/O therapy a reality," EXCLUSIVE: Stealthy Arcus emerges with $120M to make personalized I/O therapy a reality 
  slawrence  
 Mon, 08/29/2016 - 08:35 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/exclusive-stealthy-arcus-emerges-120m-to-make-personalized-i-o-therapy-a-reality,"Mon, 29 Aug 2016 12:35:08 +0000",NA,"EXCLUSIVE: Stealthy Arcus emerges with $120M to make personalized I/O therapy a reality | FierceBiotechTerry Rosen led Flexus Biosciences to a $1.25 billion acquisition by Bristol-Myers Squibb ($BMY) in roughly a year and a half. But now he and his team, including co-founder Juan Jaen, are aiming for an even more ambitious goal--building a major immuno-oncology biopharma from the ground up with upstart Arcus Biosciences.

The Hayward, CA-based startup was founded in May 2015, shortly after the Flexus sale, and has raised a total of about $120 million in two financings already. The company had opted to remain in stealth mode thus far.

That s despite ample interest in the next efforts of this management team, which is comprised largely of Flexus execs--some of whom trace their roots back to Amgen, where Rosen was a longtime executive who finished his career there as VP of Therapeutic Discovery and South San Francisco site head.

An obvious expression of this group s confidence is that the first $30 million invested in Arcus came from its founders and other  friends and family  investors; The Column Group, Foresite Capital, Novartis ($NVS) and Celgene ($CELG) rounded out the Series A financing that dates back to May 2015 and totaled $49.7 million. The Column Group and Celgene were both also Flexus investors.

Arcus opted to raise another $70 million this August--despite having touched very little of the Series A cash. But by late last year, early research had proven promising enough to accelerate initial research--and financing--plans.

 In May, we strategically decided to get two of our projects into the clinic in 2017. At the outset, we had thought to advance just one in 2017 and the next in 2018,  Arcus CEO Rosen told FierceBiotech in an exclusive interview.  We still had $40 million left, but we wanted to expand what we were doing and push the other programs faster. 

That oversubscribed round was expanded from an initial $50 million to accommodate the addition of new investors including GV, which led, as well as Invus, Taiho Ventures, DROIA Oncology Ventures and Stanford University, which had the right to participate as part of a technology licensing deal. All the existing investors also participated.

The startup has scaled up its hiring, with an aim of 60 employees by year end, up from the previously planned 38. Arcus has set up shop in the East Bay, in a less expensive locale than San Francisco or Silicon Valley.

Beyond the general immuno-oncology frothiness, which Rosen expects will result in a lot of disappointing data in the next year or so because of poorly planned combination trials, Rosen and his team are committed to the big vision behind immuno-oncology.

 Immuno-oncology is a very unique, rare situation,  said Arcus  Rosen.  The body should be able to kill tumors, but the reality is that most things tried in the past haven t worked so well. 

He continued,  Recent trials with immune checkpoint inhibitors, such as PD-1 antibodies, have shown that if you can get the immune system to do what it s supposed to do, you can treat cancer. The academic community has been working away and sorting out the biology very aggressively.   We have decades of biological research that hasn t been translated into drug discovery. 

 This is something to double down on--we re going to bet big,  concluded Rosen as an explanation for why he s working to build Arcus as a long-term company.  This is the last field in which I will probably ever work. 

Arcus is working on small molecule and antibody I/O approaches with the aim of building its own internal combinations. Rosen likens the combo land-grab around I/O as likely to shape up along similar lines as the hepatitis C combo race--in which there were some major winners and losers on the path to assembling relevant combinations.

The company has selected its first three targets for small molecules along the ATP-adenosine pathway; CD73, CD39 and the A2A receptor. The idea is to use multiple means to discourage the extracellular enzymatic conversion of ATP, which is released by damaged or dying cells, into adenosine; the former encourages an immune response to cancer cells while the latter discourages it.

 Normally, ATP is released by cells as they die or are damaged,  explained Rosen.  It s a signal to the rest of the immune system to mount an inflammatory response. But ATP is converted to adenosine and by converting ATP to adenosine, not only is the signal to mount an immune response reduced, but adenosine also tells the immune system to stand down. 

Arcus plans to select a clinical candidate from its CD73 program, which is expected to be its lead, during the last quarter of this year. It, along with the A2A antagonist program, are both slated to reach the clinic next year.

The startup is also doing preclinical work on monoclonal antibodies, which they expect could result in backbone cancer therapies. They are specifically intended to complement the workings of the small molecules. Arcus is aiming not just for individual candidate activity, but for a combination effect with its own as well as external drugs. The company expects to have up to three of these antibodies in the clinic in 2018.

Arcus hasn t ruled out future deals to gain adjacent technology, such as cell-based therapies and gene editing, which could work well with its other approaches. It is going after three areas where it hopes to have best-in-class combinations: the elimination of active mechanisms of immune suppression, enhanced function of the APC (antigen presenting cells) as well as enhanced T cell, NK cell and macrophage effector activity.

Ultimately, Arcus is betting on a vision of personalized immuno-oncology treatment based on activity in a particular tumor.  Now, we are bucketing patients based on the organ of origin,  Arcus President Juan Jaen said.  What was the site of the origin of the tumor and what was the route of therapy? It s very, very crude. 

He continued,  We re moving toward more molecular or cellular analysis of what s going on in their particular tumor. That presents opportunities to further customize the agent or combination of agents. A couple of decades from now, the large majority of patients can be taken down a very specific path. ",Pharmaceuticals
"Struggling CTI reveals new pacritinib data, misses a primary endpoint"," Struggling CTI reveals new pacritinib data, misses a primary endpoint 
  badams  
 Mon, 08/29/2016 - 06:49 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/struggling-cti-reveals-new-pacritinib-data-misses-a-primary-endpoint,"Mon, 29 Aug 2016 10:49:02 +0000",NA,"Struggling CTI reveals new pacritinib data, misses a primary endpoint | FierceBiotechCTI BioPharma ($CTIC), still under a clinical hold enforced by the FDA back in February for its investigational JAK2 inhibitor candidate pacritinib, has posted new data from its PERSIST-2 trial showing it hit one primary endpoint, but missed another.

It was in fact this study that at the start of the year prompted the U.S. regulator to slap a full clinical hold on the biotech, halting dosing and persuading CTI to yank its newly completed drug application, given the high level of adverse events and deaths from the test.

The biotech had been given a fast-track status by the FDA in 2014, but the deaths in PERSIST-2 in pacritinib-treated patients, which included intracranial hemorrhage, cardiac failure and cardiac arrest, alarmed the FDA so greatly it said it could not allow its continuance.

The regulator recommended back in February that the biotech conduct dose exploration studies for pacritinib in patients with myelofibrosis, and submit final study reports and datasets for its two studies PERSIST-1 and PERSIST-2.

Today, it has posted some new data for the drug, which is partnered with Baxalta (now Shire) from PERSIST-2. This Phase III trial compared pacritinib, an oral multikinase inhibitor, with other available therapies such as Novartis  ($NVS) Jakavi (ruxolitinib), for patients with myelofibrosis whose platelet counts are less than 100,000 per microliter--a patient population with high-risk advanced disease.

Just over 300 patients were enrolled in the study, which formed the basis for the safety analysis, according to the biotech, but only 221 patients reached week 24 (the primary analysis time point) before the clinical hold was imposed.

CTI said that its preliminary results showed from these patients that the PERSIST-2 trial met one of the co-primary endpoints, showing a statistically significant response rate in spleen volume reduction in patients with myelofibrosis treated with pacritinib compared to JAK2 inhibitor Jakavi.

But it did however fail to meet its other co-primary endpoint, of greater than 50% reduction in total symptom score.

The biotech said that the most common treatment emergent adverse events for pacritinib were  generally manageable diarrhea, nausea and vomiting. 

The incidence of cardiac and bleeding adverse events (all grades and grade 3-4 including deaths) were similar across the arms, it added, with overall mortality rates  comparable between arms. 

Additional data from ongoing analyses along with top-line results from PERSIST-2 are slated to be posted at an upcoming scientific meeting.

 Having analyzed data from two Phase III trials with the only JAK inhibitor to be studied in severely thrombocytopenic patients, including patients on JAK2 therapy or those who failed prior JAK2, we are encouraged by pacritinib's clinical profile in this difficult-to-treat group of patients with myelofibrosis,  said James Bianco, president and CEO of CTI BioPharma.

 We are grateful for the support and commitment of the investigators, our steering committee and, most importantly, all the patients who participated in PERSIST-2.  Despite the upbeat tone, the clinical hold still remains on the biotech.

The biotech was marginally up 1.45% at the end of play Friday, before the data were posted, but is still locked in penny-stock territory with shares trading at 35 cents and with a market cap of just $100 million.",Pharmaceuticals
Ferring buys rights to PhIII pain drug from Seikagaku," Ferring buys rights to PhIII pain drug from Seikagaku 
  ntaylor  
 Mon, 08/29/2016 - 06:08 
     
  
  
  
   ",http://www.fiercebiotech.com/biotech/ferring-buys-rights-to-phiii-pain-drug-from-seikagaku,"Mon, 29 Aug 2016 10:08:45 +0000",NA,"Ferring buys rights to PhIII pain drug from Seikagaku | FierceBiotechFerring Pharmaceuticals has secured the rights to a Phase III treatment of radicular leg pain outside of Japan from Seikagaku. The drug, condoliase, is seen by Ferring as giving patients with lumbar disc herniation a nonsurgical way of managing the leg pain resulting from their condition.

Seikagaku has advanced the drug into two Phase III trials designed to give it the data it needs to win approval in the U.S. Having initiated this process, Seikagaku will stay in charge throughout the Phase III trials and subsequent regulatory filing, before handing off to Ferring in the event it wins approval. Ferring will then commercialize the drug in the U.S., while also potentially running the trials needed to win approval in other markets.

The deal sees Ferring pay an undisclosed upfront fee, plus development and regulatory milestones and sales royalties. An earlier release to disclose a letter of intent between the companies put the size of the upfront at $5 million ( 4.5 million). In return, Ferring is gaining the rights to a drug it and some third parties think can provide another option to patients who suffer pain as the result of lumbar disc herniation, a degenerative process affecting intervertebral discs.

 Condoliase could offer a non-surgical alternative to patients for whom conservative therapy and/or corticosteroid injections have failed to provide durable relief, while maintaining the option for surgery should it later become medically necessary,  Dr. Ray Baker, a former president of the North American Spine Society, said in a statement.

Seikagaku has already tested condoliase, also known as SI-6603, in a Phase III trial in Japan. The 163-patient study found a single injection of condoliase was better than placebo at improving scores of worst leg pain. After 13 weeks, the leg pain scores of 72% of patients in the condoliase cohort improved by 50% or more compared with the baseline. Approximately half of patients in the placebo arm experienced similar improvements. Condoliase was also associated with improvements in physical function and quality of life scores.

Notably, while the treatment cohort featured a higher frequency of reports of back pain and other adverse events, Seikagaku saw the overall safety profile as supporting continued development of the drug. Condoliase works by chemonucleolysis, the process of using an enzyme to dissolve part of the disc. Another product with the same mechanism of action, Chymopapain, was subject to multiple lawsuits before being pulled from the U.S. market in 2003.

Ferring is now looking to enable physicians to once again offer chemonucleolysis and, in doing so, build out its portfolio of orthopedic treatments. The Swiss drugmaker has engaged in checkbook pipeline building over the past two years to expand its orthopedic range, adding Phase III assets through deals with BioSurface Engineering Technologies and now Seikagaku.",Pharmaceuticals
