"ArticleTitle","Summary","Link","Timestamp","Category","ArticleStory","Label"
"Lilly to ax 200 R&D positions globally"," Lilly to ax 200 R&amp;D positions globally 
  nick.paul.taylor  
 Mon, 02/06/2017 - 09:18 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/lilly-to-ax-200-r-d-positions-globally","Mon, 06 Feb 2017 14:18:41 +0000","NA","Lilly to ax 200 R&D positions globally | FierceBiotechEli Lilly is working to cut 200 R&D positions. The Big Pharma is framing the action as a  voluntary reallocation program  that will see it reduce its global R&D headcount by nearly 3% while it ups its investment in other areas.

The cuts, news of which was first reported by Stat, follow shortly after Lilly detailed plans to ax 485 employees in response to the failure of its Alzheimer s trial. But, according to the company, the aim this time is different. Lilly is looking for 200 staffers from multiple R&D sites around the world to voluntarily sign up to leave the company.

While the earlier, larger cuts followed the fading of expectations for solanezumab and subsequent retreat from the program, the latest action is being pitched as a tweaking of the Lilly R&D machine ahead of renewed investment in specific areas of the operation.

 Lilly is focusing its investment in new R&D capabilities to ensure portfolio sustainability. We plan to increase our investment and hire in strategic areas, including molecule-making capabilities, immunology and Alzheimer's disease, across our U.S. research sites later this year,  a spokesperson who confirmed the cuts said in an emailed statement.

The reference to U.S. research sites is notable given the political climate in which Lilly is operating. News of the cuts emerged days after Lilly CEO Dave Ricks talked up  his hiring of manufacturing staff in a meeting with President Donald Trump. Given Trump s willingness to single out firms for criticism on Twitter and uncertainty over his approach to biopharma, there is value in being seen to be on board with the  America First  approach, particularly as it relates to jobs.

Lilly s statement also suggests the company is pushing ahead in Alzheimer s despite the setbacks it has faced. Jobs related to Alzheimer s research are among the 34 open science positions at Lilly as of today. Lilly is also looking to add a team leader at its neuroscience R&D unit in the U.K.","Pharmaceuticals"
"Ablynx files rare blood disorder drug, raising prospect of first commercial product next year"," Ablynx files rare blood disorder drug, raising prospect of first commercial product next year 
  phil  
 Mon, 02/06/2017 - 09:13 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/ablynx-files-rare-blood-disorder-drug-raising-prospect-first-commercial-product-next-year","Mon, 06 Feb 2017 14:13:13 +0000","NA","Ablynx files rare blood disorder drug, raising prospect of first commercial product next year | FierceBiotechBelgian biotech Ablynx has filed its first-ever marketing application, seeking EU approval for its new drug for an ultrarare blood clotting disorder.

If approved, caplacizumab could be the first drug therapy for the condition known as acquired thrombotic thrombocytopenic purpura (aTTP) which results from an impaired blood clotting enzyme and causes very low blood platelet counts and the formation of microclots, leading to organ damage.

Caplacizumab stops that clot formation, says Ablynx, and if approved it would be the first alternative to plasma exchange therapy in patients with the disease, which has a 20% mortality rate per episode.

The drug could be the first commercial product for Ablynx, which is one of Europe's top-tier biotechs, employing around 400 people and with eight programs in clinical trials. Ghent-based Ablynx estimates the annual market potential for caplacizumab to be around  800 million, and it is now targeting a possible launch for the drug in the first half of 2018, with a U.S. filing expected around the same time, according to CEO Edwin Moses.

The filing is based on phase 2 data from the TITAN trial, with a phase 3 trial called HERCULES running at the moment and due to generate results later this year. TITAN showed that caplacizumab treatment could reduce the time to platelet count normalization by around 40%, and it reduced recurrences while on drug treatment by around 74%.

Moses told delegates at the J.P. Morgan Healthcare Conference last month that he reckons that caplacizumab could grow into a  400-million-a-year product at peak, and the company thinks it can sell it on its own with a small sales force.

Getting the drug filed will be a ""huge step forward to us all young biotechs aspire to taking a drug all the way through development and commercialize it themselves,"" he said.

Ablynx estimates that around 7,000 to 8,000 people present with aTTP in North America, Europe and Japan each year, with two-thirds being new diagnoses and one-third relapsed cases.

Ablynx focuses on ""nanobodies,"" which are around one-tenth the size of a regular antibody, making them easier to administer, and can be linked together to hit multiple targets.

The pipeline includes inhaled treatment ALX-0171 for respiratory syncytial virus infections in midstage trials, and interleukin-6 (IL-6)-targeting nanobody rheumatoid arthritis candidate vobarilizumab.

AbbVie declined to pick up rights to vobarilizumab last October, possibly because there is already one IL-6 inhibitor on the market Roche's Actemra (tocilizumab) with new inhibitors from Sanofi/Regeneron and GlaxoSmithKline nearing the market and increasing competition from other drugs such as JAK inhibitors.

Moses said Ablynx would step up efforts to find another partner for the drug after end of phase 2 meetings with the FDA and EMA in Europe.","Pharmaceuticals"
"Startup Chondrial in $22.6M Series A, gains new CEO, ataxia med"," Startup Chondrial in $22.6M Series A, gains new CEO, ataxia med 
  badams  
 Mon, 02/06/2017 - 08:31 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/startup-chondrial-22-6m-series-a-gains-new-ceo-ataxia-med","Mon, 06 Feb 2017 13:31:29 +0000","NA","Startup Chondrial in $22.6M Series A, gains new CEO, ataxia med | FierceBiotechChondrial Therapeutics has secured a near $23 million raise, led by VC Deerfield Management, and has taken on Deerfield s adviser Carole Ben-Maimon as its new president and CEO.

Alongside its cash boost and top exec, the startup has also licensed an investigational candidate, CTI-1601, designed to treat Friedreich's ataxia, from Indiana University Research and Technology Corp. and Wake Forest University Health Sciences.

The funds will be used to push on with the development of CTI-1601 and to boost its exec and management team, with its labs now based at the Science Center in Philadelphia. Chondrial says it will soon ask for an IND by the FDA so it can start a phase 1 test of its new compound.

It added in a statement that it also plans to  advance [a] pipeline of product candidates focused on the treatment of rare mitochondrial diseases. 

New CEO Dr. Ben-Maimon, who has spent a quarter of a century in biopharma management and research, joins Chondrial after serving as an adviser with Deerfield Management.

She said:  The $22.6 million Series A financing, combined with the licensing of CTI-1601, is a watershed moment for Chondrial. I believe the company is in prime position to advance a potentially groundbreaking therapeutic for patients with Friedreich s ataxia and capitalize on a broader vision of targeting and treating rare, debilitating mitochondrial diseases.

 We are very appreciative of Deerfield Management, which led the financing and will be providing continuing strategic and operational support. Additionally, we look forward to working with the scientific community, the Friedreich s Ataxia Research Alliance, and the FDA to advance this important therapeutic. 

Discovered by co-founder Dr. Mark Payne while at Wake Forest Baptist Medical Center, CTI-1601 uses a carrier protein to deliver frataxin, the deficient protein in Friedreich s ataxia, to the mitochondria where researchers believe it is processed to mature frataxin and becomes active in mitochondrial metabolism.

This genetic disease is a debilitating, life-shortening, degenerative neuromuscular disease that occurs in about 5,000 people in the U.S.

People with Friedreich s ataxia have very low levels of frataxin, so Chondrial's big idea is that by replacing the deficient protein, the mitochondria will resume normal function, patients  symptoms may be minimized, and disease progression may be held back.

This comes a few months after Horizon Pharma s Actimmune missed the primary endpoint in a phase 3 trial in the rare neurodegenerative movement disorder, sparking a 20% drop in its stock price.

The study set out to show that interferon gamma-1b could improve outcomes in patients with Friedreich's ataxia, but the drug failed to move the needle.","Pharmaceuticals"
"BMS, Innate checkpoint inhibitor flunks AML phase 2"," BMS, Innate checkpoint inhibitor flunks AML phase 2  
  nick.paul.taylor  
 Mon, 02/06/2017 - 03:24 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/bms-innate-checkpoint-inhibitor-flunks-aml-phase-2","Mon, 06 Feb 2017 08:24:04 +0000","NA","BMS, Innate checkpoint inhibitor flunks AML phase 2 | FierceBiotechA phase 2 trial of Innate Pharma s lirilumab in elderly patients with acute myeloid leukemia (AML) has missed its primary endpoint. The Bristol-Myers Squibb-partnered checkpoint inhibitor failed to improve leukemia-free survival by more than placebo.

Innate enrolled 150 people in the trial and randomized them to receive one of two doses of the anti-KIR monoclonal antibody or a placebo. The clinical trial failed to find a statistically significant difference between either treatment arm and the placebo in terms of leukemia-free survival or any other efficacy endpoint. The across-the-board failure is a stumble at the first major clinical efficacy hurdle faced by lirilumab.

 Although we knew that this setting was challenging, we are disappointed by the results of the EffiKIR study and will investigate further to better understand the data in its entirety,  Innate Chief Medical Officer Pierre Dodion said in a statement.

The first hint that lirilumab could come up short arrived when the Data and Safety Monitoring Board (DSMB) completed its fourth review of the study in March 2015. At that time, the DSMB recommended stopping treatment in one of the arms as it was already unable to beat placebo. In unblinding the study, Innate has revealed the DSMB recommended stopping the higher of the two doses, dispelling earlier assumptions that the lower dose was more likely to struggle.

That finding and the other results of the phase 2 AML trial raise doubts about the odds of success in the suite of studies set up by Bristol-Myers and Innate. Since paying Innate $35 million ( 33 million) for the rights to lirilumab, Bristol-Myers has kicked off a clutch of trials to test the anti-KIR monoclonal antibody in combination with drugs including its PD-1 drug Opdivo.

Innate is clinging to interim phase 1/2 results suggesting lirilumab boosts the efficacy of Opdivo in patients with squamous cell carcinoma of the head and neck as evidence of the potential of its asset as it heads toward a critical series of data readouts.

 EffiKIR is only one of seven studies currently investigating lirilumab. Lirilumab is tested in a broad and comprehensive combination program in multiple indications and we saw encouraging early efficacy signals of lirilumab in combination with nivolumab at the 2016 SITC meeting. We are looking forward to the next data sets as well as the next steps for the program in 2017,  Dodion said.

Bristol-Myers initiated the combination trials to test the idea that targeting KIR and PD-1 will deliver better outcomes than going after the latter pathway alone. While Opdivo blocks the inhibitory effect of PD-1 receptors on T cells, lirilumab is designed to stop KIR2DL-1,-2,-3 inhibitory receptors from interacting with their ligands. Together, the drugs have the potential to unleash T cells and natural killer cells at tumors, resulting in greater efficacy than Opdivo alone.

Clinical trial data backing up the theory would deliver a boost to Bristol-Myers, which is rocking from setbacks in the clinic and seeking an edge over Merck s Keytruda and other PD-1/PD-L1 drugs that are set to start challenging for the market.

Shares in Innate opened down 23% in Paris.","Pharmaceuticals"
"Targovax climbs after posting survival data from I-O trial"," Targovax climbs after posting survival data from I-O trial 
  nick.paul.taylor  
 Fri, 02/03/2017 - 09:14 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/targovax-climbs-after-posting-two-year-survival-data-from-i-o-trial","Fri, 03 Feb 2017 14:14:57 +0000","NA","Targovax climbs after posting survival data from I-O trial | FierceBiotechTargovax has posted two-year survival data from a phase 1/2 trial of TG01 in resected pancreatic cancer patients. More than 60% of participants were alive two years after starting treatment, sparking a 40% surge in the stock price of Targovax.

The study gave TG01, a peptide-based RAS immunotherapy, in combination with standard of care to pancreatic cancer patients who had undergone resection. Of the 19 evaluable patients, 13 were alive two years after resection. One patient died shortly after passing the milestone, resulting in only 12 patients being alive two years after starting treatment. But whichever start date is used, the two-year survival rate clocks in at upward of 60%.

To put this figure in context, Targovax looked at two-year survival rates from studies that treated resected pancreatic cancer patients with standard care, gemcitabine. Across the five earlier trials, two-year survival rates ranged from 30% to 53%.

Investors were cheered by the comparison, although Targovax is conscious of the risk of reading too much into data from a small, single-arm trial.

 We are encouraged by the two-year overall survival rate of patients treated with TG01 in this trial, versus the expected rate from published historical data when treating with gemcitabine alone, the current standard of care. Whilst acknowledging the small size of this first patient cohort and the lack of a control arm, we are encouraged by what seems to be a signal of efficacy in this highly malignant and difficult to treat cancer,  Targovax CMO Magnus J derberg said in a statement.

Targovax sees the data as sufficiently encouraging to push ahead with TG01, the first candidate to emerge from its TG-Peptide platform. The platform is designed to deliver injectable peptide-based immunotherapies that treat patients whose tumors express RAS mutations. These mutations, which are common in pancreatic cancer, correlate with poor health outcomes. Targovax thinks TG01 can improve the lot of these patients by inducing an immune response.

The ability of TG01 and follow-up compounds from the same platform to live up to this billing will shape the fate of one half of Targovax s operation. The other half, a pipeline of adenovirus-based immunotherapies, became part of Targovax when it merged with Oncos Therapeutics in 2015.","Pharmaceuticals"
"Funding sets up proof-of-concept trial for Tarveda's lead Pentarin next year"," Funding sets up proof-of-concept trial for Tarveda's lead Pentarin next year 
  phil  
 Fri, 02/03/2017 - 07:47 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/funding-sets-up-proof-concept-trial-for-tarveda-s-lead-pentarin-next-year","Fri, 03 Feb 2017 12:47:09 +0000","NA","Funding sets up proof-of-concept trial for Tarveda's lead Pentarin next year | FierceBiotechBoosted by a fresh $30 million tranche of funding, Tarveda Therapeutics will start phase 2 trials of its lead drug for advanced neuroendocrine tumors and small cell lung cancer early next year, according to CEO Drew Fromkin.

Tarveda is focused on developing a new class of drugs called Pentarins that act like antibody-drug conjugates combining tumor targeting that spares healthy tissues with a toxic payload but  are around 50 times smaller, in principle allowing them to penetrate more deeply into cancers. They are bigger than small molecule drugs, but this is another benefit it stops them being cleared from the body too quickly, according to the biotech.

Tarveda said its latest Series D fundraising, led by new investor Versant Ventures, will help it advance lead candidate PEN-221, which targets somatostatin receptor 2 (SSTR2), through proof-of-concept.

""PEN-221 phase 1 dose escalation and safety data is expected to be available late this year, and we will be positioned to initiate phase 2a studies early in 2018,"" Fromkin told FierceBiotech, noting that the phase I trials will use an FDA-approved imaging diagnostic to select patients whose tumors express SSTR2.

Advanced neuroendocrine tumors and small cell lung cancer are the two malignancies linked most closely to SSTR2 and represent a market opportunity of around $1.5 billion for PEN-221 on their own, said Fromkin. ""There is a deficit of curative treatments for these cancers and new and effective treatments are desperately needed.""

Meanwhile, the cash injection will also help Tarveda advance its second Pentarin candidate HSP90-targeting drug PEN-866 into phase 1 dose-escalation and safety studies due to start in the first half of 2017.

""PEN-866 will initially be focused on patients with topoisomerase-I inhibitor sensitive tumors,"" said Fromkin. Those tumor types are found in patients with small cell lung cancer, sarcoma, pancreatic cancer, and gastric cancer, to name a few.

As well as taking both PEN-221 and PEN-866 through early-stage clinical studies, the funding is giving the company scope to broaden its pipeline of Pentarin candidates beyond its two lead programs, both for ""collaboration and internal development,"" according to Fromkin, who says news on additional candidates will be forthcoming during the course of 2017.

On the subject of partnerships, he told FierceBiotech that the augmented pipeline would allow it to attract potential collaborators.

""We have optionality around when and with which programs we decide to create value through collaboration with pharmaceutical and other partners, said Fromkin.  ""In any event, the platform is yielding opportunities for new, valuable Pentarins and this enables both proprietary and partnered development.""

The fundraising is the first for the company since it rebranded from Blend Therapeutics to Tarveda last year, spinning out its former lead cancer drug BTP-114 into a new company called Placon Therapeutics in the process.

Versant partner Dr. Guido Magni will join Tarveda's board of directors, who said the company's ""rapidly maturing pipeline, including two clinical-stage candidates, demonstrates the prolific nature of the Pentarin discovery and development engine.""","Pharmaceuticals"
"Stemline admits it learned of but did not disclose patient death in cancer trial before $45M stock offering"," Stemline admits it learned of but did not disclose patient death in cancer trial before $45M stock offering  
  nick.paul.taylor  
 Fri, 02/03/2017 - 04:42 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/stemline-admits-it-learnt-but-did-not-disclose-patient-death-cancer-trial-before-45m-stock","Fri, 03 Feb 2017 09:42:41 +0000","NA","Stemline admits it learned of but did not disclose patient death in cancer trial before $45M stock offering | FierceBiotechStemline Therapeutics has admitted it learned of a death in its phase 2 cancer trial the day before it went ahead with a $45 million stock offering. The admission follows a report in The Street about the death the third linked to the same side effect that wiped more than 40% off Stemline s stock price.

The events date back to last month. On January 19 Stemline filed a prospectus with SEC to raise money. The offering was priced the following day, generating $45 million for Stemline. What has now become clear, following The Street article and subsequent company statement, is Stemline was told on January 18 of the death of a patient in a phase 2 trial of SL-401. Stemline disclosed its knowledge of the death on February 2.

In a statement, Stemline said the patient developed capillary leak syndrome (CLS), the same side effect linked to the deaths of two participants in earlier studies. When Stemline designed the second part of its phase 2 trial of SL-401 in blastic plasmacytoid dendritic cell neoplasm (BPDCN) a rare blood cancer it added dosing and safety parameters to the lead-in stage of the study to cut the risk of severe CLS.

The precautions looked to be working. When Stemline presented data from the potentially-pivotal trial at the 2016 American Society of Hematology Annual Meeting in December, it reported 19% of the 32 evaluable patients had experienced treatment-related CLS. No patients enrolled since the precautions were implemented experienced a severe form of the side effect. And only 8% of the overall study population had suffered grade 3 or above CLS.

Stemline is yet to determine the cause of the patient s death, but it appears to threaten the clean safety record the company was accruing. What, if anything, that means for the prospects of SL-410 remains to be seen.

If all goes to plan, Stemline will wrap up enrollment in the BPDCN study in the coming months, setting it on a path it thinks will lead to a filing for FDA approval before the year is over. With the trial generating an overall response rate of 84% and complete response rate of 56% as of the December update, the efficacy aspect of the plan looks to be on track.

Analysts at Jefferies were not impressed, and questioned management's decisions. ""STML reported it received notification of a patient death on Jan. 18 but believed this was not material and the reason this was not disclosed earlier. Recall that two patients deaths from CLS had been observed earlier in the trial (1 BPDCN pt tx'd at 7ug/kg/day and 1 r/r AML pt tx'd at 16ug/kg/day),"" the firm said in a note to clients.

""Prior to this event and after new safety protocols had been implemented, STML reported no CLS >Grd 2 at ASH '16. We feel that the lack of disclosure highlights the inability of mgmt to make decisions with shareholders in mind. Further, as of 8:00pm STML has not returned our calls. Collectively, we believe that the most meaningful upside to the stock would be remedies to regain investor confidence. Furthermore, we would advise mgmt to host an investor call where these issues may be addressed.""","Pharmaceuticals"
"AstraZeneca pulls PD-L1 phase 3 combo test, RSV candidate"," AstraZeneca pulls PD-L1 phase 3 combo test, RSV candidate  
  badams  
 Fri, 02/03/2017 - 03:22 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/astrazeneca-pulls-pd-l1-phase-3-combo-test-rsv-candidate","Fri, 03 Feb 2017 08:22:58 +0000","NA","AstraZeneca pulls PD-L1 phase 3 combo test, RSV candidate | FierceBiotechIt s the fourth-quarter clear out, and AstraZeneca has pulled the plug on a combo of its immuno-oncology candidate as well as axing a test of its biologic arm s RSV drug as it sheds some more light on its birds of prey-themed tests in head and neck cancers.

In the  removed from phase 3  box coming out of its morning presentations on Thursday, Feb. 2, it said it has dropped a late-stage combo treatment of PD-L1 candidate durvalumab and CTLA-4 med tremelimumab (which has seen its own trial setbacks) in first-line metastatic pancreatic ductal carcinoma (the Alps study).

This also comes after its recent decision to change up its timings on a study of durvalumab in squamous cell head and neck cancers (HNSCC).

The Big Pharma confirmed to me:  With recent changes in the HNSCC competitive landscape, including the approval in the U.S. for PD-1 monotherapies for recurrent or metastatic HNSCC with disease progression on or after platinum-containing chemotherapy, and based on [overall survival] data in all-comer patients, we will not make a regulatory submission for accelerated approval based on the single-arm phase 2 Hawk trial in PD-L1 high patients and the uncontrolled randomised or the phase 2 Condor trial (in PD-L1 low/neg patients). 

The company said it  remains committed  to developing durvalumab both on its own and in combo with tremelimumab for patients with recurrent metastatic HNSCC:  Through the delivery of the phase 3 randomized controlled clinical Eagle trial (in second-line HNSCC) with data expected in 2018, and the phase 3 randomized controlled clinical Kestrel trial (in first-line HNSCC) with data expected in H2 2017.  Both studies are enrolling all-comer patients, the company added.

Moving further back down the pipeline, four NME phase 2 meds have also been axed and divested, including its outlicensing of GI candidate MEDI2070 to Allergan a few months back, with MEDI7510 also now in limbo.

This candidate is a respiratory syncytial virus (RSV) sF antigen plus GLA and works as a synthetic molecule licensed from Immune Design s GLAAS discovery platform, and was being studied by MedImmune, AstraZeneca s biologics arm.

A spokesperson for the company tells FierceBiotech:  Based on the initial efficacy results from the phase 2b study, we decided not to proceed with the second-year safety and immunogenicity follow-up phase of the MEDI7510 study. We are currently conducting a full and thorough evaluation of the phase 2b results to determine next steps. 

RSV candidates have had a tough time of late, and just this week Aviragen said its BTA585 drug failed to have any impact on viral load in around 20 adult patients given an intranasal inoculation with the virus, the most common cause of acute lower respiratory tract infection in children.

Back in September, Novavax also saw its shares plummet when it announced that a late-stage test of its RSV vax had missed all of its marks across a 12,000-strong study.

And AstraZeneca/MedImmune have had setbacks here too: Back in 2010, the Big Pharma wrote off its big motavizumab program for RSV after it failed to make the grade. Motavizumab was intended to replace the blockbuster RSV drug Synagis.

And even further back in phase 1, the U.K.-headquartered Big Pharma said it had divested its NDMA suicidal ideation drug AZD8108.

Editor's note: This article has been corrected to show that the RSV drug MEDI7510 had not been fast-tracked at the FDA.","Pharmaceuticals"
"Chutes & Ladders: Genentech oncology head jumps ship"," Chutes & Ladders: Genentech oncology head jumps ship 
  aliu  
 Thu, 02/02/2017 - 09:15 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/chutes-ladders-genentech-oncology-head-jumps-ship","Thu, 02 Feb 2017 14:15:28 +0000","NA","Chutes & Ladders: Genentech oncology head jumps ship | FierceBiotechWelcome to this week's Chutes and Ladders, our roundup of hirings, firings and retirings throughout the industry. Please send the good word or the bad from your shop to Eric Sagonowsky (email) or Angus Liu (email), and we will feature it here at the end of each week.

Rick Fair will become part of the latest oncology exec changes at Big Pharma companies, following David Epstein's departure from Novartis to VC Flagship and Alessandro Riva's move from Novartis to Gilead. During his time as Roche/Genentech s SVP and head of oncology, Fair played a key role in the launch of Tecentriq. As he joins Bellicum as CEO, he will be responsible for coming up with a global regulatory and commercial strategy for the company s leading phase 1/2 med BPX-501 in blood cancers, as well as advancing its pipeline of controlled CAR-T and TCR product candidates. Tom Farrell, the company s current CEO, will serve as an adviser during the transition. FierceBiotech

Another former exec from Roche/Genentech also found a new place this week. Corsee Sanders, previously Roche s SVP and head of global clinical operations and industry collaborations, was hired by Juno Therapeutics as its EVP and head of development operations. She has a combined 23 years of experience between Genentech and Roche, where she oversaw diverse aspects of early-to-late development programs spanning a vast range of therapeutic areas. She was instrumental in the development and submission of blockbusters Rituxan, Avastin and Herceptin, along with its companion diagnostic Herceptest. It s hard for the industry to forget Juno s CAR-T halt last year after several deaths during trials. Now, it is Sanders  job to manage the biotech s clinical trial operations. Release

As President Donald Trump is planning a few policy changes that would affect the biopharma industry drastically and unexpectedly, it seems more important for companies to hire those who have worked for the government before as the company s liaison with officials. That s probably what Sanofi was thinking when it poached Biogen s SVP of corporate affairs Kathleen Tregoning as its EVP of external affairs. Tregoning brings with her more than 20 years of professional experience in policy. Before she joined Biogen as VP of public policy & government affairs in 2006, she had been working in the U.S. Congress since 2001 for the chairmen of the House of Representatives Ways & Means Committee, the House Energy & Commerce Committee and the Senate Budget Committee. Release

> Mark Schwartz has stepped down as CEO of Galena Biopharma as the company undergoes federal investigation related to the marketing of its opioid Abstral. BioSpace story

> Tom Daniel, former president of global research and early development at Celgene, has joined just-launched Vividion as executive chairman, running the company as the upstart looks for a permanent CEO. FierceBiotech

> Avillion has brought on Dr. Mark Weinberg as CMO. Before turning his career toward micro-cap biotech, he previously worked at Astellas, Lundbeck, Takeda and Abbott Laboratories. Release

> Andrew Oakley was named CFO of Sosei, succeeding Hidetoshi Torami who had resigned for personal reasons. Release

> Antiviral therapy-focused Agenovir has appointed Bolyn Hubby to the newly created position of CSO. Release

> The Association of Clinical Research Organizations elected John Hubaard, president and CEO of Bioclinica as its new chairman, and John Ratliff, CEO of Covance, as vice chairman. Release

> AmpliPhi Biosciences hired Igor Bilinsky to take over for interim COO Wendy Johnson as SVP and COO. Release

> Applied Photophysics promoted former COO Louise Madden to CEO, appointed Sue Cresswell as marketing manager and hired Koos van der Steuijt as director of global sales. Release

> Abpro, a therapeutic antibody company, announced the appointment of Adam Mostafa as CFO. Release

> MyoKardia, a clinical stage company focused on heritable CV diseases, appointed Dr. June Lee as COO and Dr. Radhika Tripuraneni as VP of medical affairs. Release","Pharmaceuticals"
"Aviragen takes a tumble as RSV drug fails midstage trial"," Aviragen takes a tumble as RSV drug fails midstage trial 
  phil  
 Thu, 02/02/2017 - 08:41 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/aviragen-takes-a-tumble-as-rsv-drug-fails-mid-stage-trial","Thu, 02 Feb 2017 13:41:49 +0000","NA","Aviragen takes a tumble as RSV drug fails midstage trial | FierceBiotechAviragen was pummeled in after-hours trading yesterday when it revealed one of its lead antiviral candidates had missed the mark in a phase 2a trial.

The Georgia-based biotech said its BTA585 drug failed to have any impact on viral load in around 20 adult patients given an intranasal inoculation with respiratory syncytial virus (RSV), the most common cause of acute lower respiratory tract infection in children.

CEO Joseph Patti said some biological activity was seen in the trial but there was a lot of variability in the viral load seen in patients and that coupled with a small number of patients made it difficult for the study to show an effect.

For now, the impact of the failed study is unclear. The company is playing its cards close to its chest, saying it will analyse the data set and make an announcement on the future of the oral fusion inhibitor before midyear.

At the moment the only option for the 2.1 million or so children in the U.S get RSV seriously enough to warrant medical attention is supportive care inhaled ribavirin is sometimes used but has limited efficacy, while at-risk children can receive a preventative shot of AstraZeneca's Synagis (palivizumab).

For kids with established infections which in some cases can be life-threatening there is a pressing need for drugs that can tackle the virus. Efforts to develop RSV treatments have so far yielded no fruit, although Johnson & Johnson, Gilead Sciences and Ablynx have drugs in clinical testing. Meantime, progress towards a preventative vaccine has also been patchy. Novavax' RSV vaccine failed a phase 3 trial last year but remains in development, while Bavarian Nordic has a candidate in phase 2 trials.

The lack of available treatments helped BTA585 bag a fast-track designation from the FDA, but Aviragen hit a hurdle last year after the regulator placed the drug on clinical hold, requiring toxicity data in juvenile animals before the company can proceed to testing the drug in children. The company is hoping to get the clinical hold relaxed later this year.

The question mark hanging over the BTA585 program means Aviragen is banking on a good outcome in the phase 2b SPIRITUS trial of lead drug vapendavir, a drug intended to treat rhinovirus infections, and BTA074 for anogenital warts which is in a midstage trial due to complete enrollment in the third quarter.

SPIRITUS is assessing vapendavir in moderate and severe asthma patients to see if the drug can prevent asthma attacks, and results are due in the next few weeks. According to the company, 45% to 80% of asthma exacerbations are linked to viral infections, and two thirds of the thought to be caused by rhinoviruses.","Pharmaceuticals"
